class_file_name,date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag,
20200813T214810470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214818470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214826470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214834470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214842470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214850470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214858470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214906470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214914470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214922470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214930470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214938470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214946470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214954470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215002470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215010470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215018470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215026470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215034470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215042470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215050470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215058470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215106470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215114470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215122470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215130470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215138470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215146470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215154470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214410470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214418470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214426470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214434470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214442470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214450470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214458470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214506470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214514470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214522470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214530470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214538470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214546470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214554470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214602470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214610470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214618470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214626470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214634470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214642470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214650470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214658470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214706470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214714470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214722470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214730470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214738470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214746470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214754470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214802470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214810470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214818470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214826470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214834470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214842470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214850470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214858470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214906470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214914470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214922470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214930470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214938470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214946470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T214954470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215002470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215010470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215018470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215026470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215034470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215042470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215050470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215058470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215106470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215114470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215122470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215130470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215138470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
20200813T215146470_2020081,20200813,78245,0.66,78355,7.64,78725,0.76,9,False,False,True,A1,sub-A,9.47,20.02,5.89,78300.49,35.97,153.19,1.721,0.734,33.76,77985,0.21,78325,9.88,79255,-0.24,True,
